Name,Watched,Ranking,Tier
Rascal Does Not Dream,11,-1,7
Darling in the FranXX,7,-2,7
Love is War,14,-3,7
Toradora,21,-4,7
Gabriel Dropout,22,-5,7
Clannad,70,-6,7
Grand Blue,91,-7,7
Ouran High School Host Club,78,-8,6
Working,107,-9,6
Monogatari Series,75,-10,6
Wotakoi,68,-11,6
Konosuba,13,-12,6
Science Fell in Love,87,-13,6
Orange,96,-14,6
Place to Place,59,-15,6
OreShura,43,-16,6
Yamada-kun and the Seven Witches,54,-17,6
Kokoro Connect,52,-18,6
OniAi,41,-19,6
Classroom of the Elite,38,-20,6
Your Lie April,27,-21,6
Tower of God,106,-22,5
Kill la Kill,8,-23,5
Blue Spring Ride,93,-24,5
My Little Monster,65,-25,5
Maid-Sama,73,-26,5
Lovely Complex,77,-27,5
Zombieland Saga,51,-28,5
Say I Love You,76,-29,5
Monthly Shoujo Nozaki-kun,80,-30,5
My Love Story,90,-31,5
From Me To You,105,-32,5
Pet Girl of Sakurasou,18,-33,5
Student Council’s Discretion,121,-34,5
Charlotte,69,-35,5
OreGairu,30,-36,5
Mayo Chiki,81,-37,5
March Comes in like a Lion,120,-38,5
My Sweet Tyrant,48,-39,4
Violet Evergarden,57,-40,4
Kakegurui,50,-41,4
Lucky Star,47,-42,4
We Never Learn,61,-43,4
Cowboy Bebop,117,-44,4
Tanaka-kun is Always Listless,101,-45,4
Nisekoi,28,-46,4
Date a Live,44,-47,4
Haganai,37,-48,4
Neon Genesis Evangelion,17,-49,4
Miss Kobayashi’s Dragon Maid,20,-50,4
Hyouka,110,-51,4
Special A,79,-52,4
Haruhi Suzumiya,72,-53,4
OreSuki,85,-54,4
Itazura na Kiss,114,-55,4
How Heavy Are the Dumbbells You Lift,46,-56,4
Tsuredure Children,40,-57,4
Hanasaku Iroha,122,-58,4
My Next Life as a Villainess,124,-59,4
Gamers,29,-60,4
Blend S,35,-61,4
Senko-san,36,-62,4
Golden Time,109,-63,4
Food Wars,9,-64,4
Interview with Monster Girls,112,-65,3
No Game No Life,23,-66,3
ID:INVADED,99,-67,3
D-Frag,84,-68,3
MM,60,-69,3
Takagi-san,92,-70,3
Welcome to the NHK,123,-71,3
Citrus,102,-72,3
Cells at Work,119,-73,3
My First Girlfriend is a Gal,49,-74,3
Tejina Senpai,15,-75,3
Aho Girl,82,-76,3
Shimoneta,39,-77,3
Keijo,34,-78,3
Fairy Tail,5,-79,3
That Time I Got Reincarnated as a Slime,31,-80,3
To Love Ru,55,-81,3
Inu X Boku SS,86,-82,3
Angel Beats,66,-83,3
The Devil is a Part Timer,25,-84,3
Momokuri,113,-85,3
Recovery of an MMO Junkie,74,-86,3
Love Lab,88,-87,3
Cautious Hero,71,-88,3
My Hero Academia,4,-89,3
Noragami,108,-90,3
Hensuki,118,-91,3
New Game,19,-92,3
Soul Eater,10,-93,2
Sword Art Online,1,-94,2
K-On,33,-95,2
Daily Lives of High School Boys,103,-96,2
Oshiete! Galko-chan,104,-97,2
His and Her Circumstances,115,-98,2
Eromanga-sensei,67,-99,2
OreImo,32,-100,2
HenNeko,116,-101,2
I Can’t Understand What My Husband is Saying,94,-102,2
Kids on the Slope,98,-103,2
Engaged to the Unidentified,42,-104,2
Seitokai Yakuindomo,56,-105,2
The Kawai Complex,64,-106,2
Baka and Test,62,-107,2
Ben-To,58,-108,2
GJ Club,95,-109,2
Death Note,3,-110,2
Familiar of Zero,111,-111,2
Dr. Stone,24,-112,2
The Demon Girl Next Door,53,-113,2
"How Clumsy You Are, Miss Ueno",45,-114,2
This Art Club Has a Problem,97,-115,2
And You Thought There is Never a Girl Online,12,-116,2
Senryuu Girl,16,-117,2
Anime-Gataris,89,-118,1
One Punch,2,-119,1
KissxSis,100,-120,1
Himouto,26,-121,1
Watamote,63,-122,1
Gurren Lagann,83,-123,1
Seven Deadly Sins,6,-124,1
